In (Grams),Out (Grams),Time (Seconds),Temp (F),Humidity (%),Channeling,Coffee,Roast Date,Prep Method,Grinder,Grind Setting
18,36,37,49.55,33.6,no,Candlestick Coffee - Columbia,15/2/2021,None,MC3,8.75
18,36,36,48.76,33.9,no,Candlestick Coffee - Columbia,15/2/2021,None,MC3,8.75
18,36,40,47.64,34.3,no,Candlestick Coffee - Columbia,15/2/2021,None,MC3,8.75
18,36,31,47.53,34.3,yes - slow center,Candlestick Coffee - Columbia,15/2/2021,None,MC3,8.75
18,36,39,48.2,34.8,yes - slow center,Candlestick Coffee - Columbia,15/2/2021,None,MC3,8.75
18,36,34,49.1,34.6,no,Candlestick Coffee - Columbia,15/2/2021,None,MC3,8.75
18,36,33,49.66,34.4,yes,Candlestick Coffee - Columbia,15/2/2021,None,MC3,8.75
18,36,33,49.66,34.1,no,Candlestick Coffee - Columbia,15/2/2021,None,MC3,8.75
18,36,30,49.66,32.4,no,Candlestick Coffee - Columbia,15/2/2021,None,MC3,8.75
18,36,31,49.89,32.3,no,Candlestick Coffee - Columbia,15/2/2021,None,MC3,8.75
18,36,34,49.89,32.6,no,Candlestick Coffee - Columbia,15/2/2021,None,MC3,8.75
18,36,34,49.89,32.4,no,Candlestick Coffee - Columbia,15/2/2021,None,MC3,8.75
18,36,29,49.95,32.6,no,Candlestick Coffee - Columbia,15/2/2021,None,MC3,8.75
18,36,37,49.89,32.2,yes - slow center,Candlestick Coffee - Columbia,15/2/2021,None,MC3,8.75
18,36,34,49.89,32.3,yes - spray at end,Candlestick Coffee - Columbia,15/2/2021,None,MC3,8.75
18,36,35,51.57,22.5,no,Candlestick Coffee - Columbia,15/2/2021,OCD - 9,MC3,8.75
18,36,35,51.8,22.4,no,Candlestick Coffee - Columbia,15/2/2021,OCD - 9,MC3,8.75
18,36,33,52.14,22.4,yes - slow center,Candlestick Coffee - Columbia,15/2/2021,OCD - 9,MC3,8.75
18,36,27,52.25,22,no,Candlestick Coffee - Columbia,15/2/2021,OCD - 9,MC3,8.75
18,36,29,52.03,21.8,no,Candlestick Coffee - Columbia,15/2/2021,OCD - 9,MC3,8.75
18,36,33,52.14,21.8,no,Candlestick Coffee - Columbia,15/2/2021,OCD - 9,MC3,8.75
18,36,37,52.47,21.9,yes - slow center,Candlestick Coffee - Columbia,15/2/2021,OCD - 9,MC3,8.75
18,36,31,52.7,21.9,no,Candlestick Coffee - Columbia,15/2/2021,OCD - 9,MC3,8.75
18,36,38,53.04,21.4,yes - slow center,Candlestick Coffee - Columbia,15/2/2021,OCD - 9,MC3,8.75
18,36,38,52.92,21.3,yes - slow center,Candlestick Coffee - Columbia,15/2/2021,OCD - 9,MC3,8.75
18,36,31,52.92,21.1,yes - initial spray,Candlestick Coffee - Columbia,15/2/2021,OCD - 9,MC3,8.75
18,36,35,53.04,21.3,no,Candlestick Coffee - Columbia,15/2/2021,OCD - 9,MC3,8.75
18,36,36,53.26,21.3,no,Candlestick Coffee - Columbia,15/2/2021,OCD - 9,MC3,8.75
18,36,34,53.38,21.3,no,Candlestick Coffee - Columbia,15/2/2021,OCD - 9,MC3,8.75
18,36,36,53.71,21,yes - slow center,Candlestick Coffee - Columbia,15/2/2021,OCD - 9,MC3,8.75
18,36,36,54.28,20.4,yes - slow center,Candlestick Coffee - Columbia,15/2/2021,OCD - 9,MC3,8.75
18,36,31,54.16,20.4,no,Candlestick Coffee - Columbia,15/2/2021,OCD - 9,MC3,8.75
18,36,37,54.28,20.8,no,Candlestick Coffee - Columbia,15/2/2021,OCD - 9,MC3,8.75
18,36,29,54.39,20.3,no,Candlestick Coffee - Columbia,15/2/2021,OCD - 9,MC3,8.75
18,36,29,53.39,20.2,no,Candlestick Coffee - Columbia,15/2/2021,OCD - 9,MC3,8.75
18,36,32,54.72,20.1,no,Candlestick Coffee - Columbia,15/2/2021,OCD - 9,MC3,8.75
18,36,36,54.95,20.1,no,Candlestick Coffee - Columbia,15/2/2021,OCD - 9,MC3,8.75
18,36,29,55.17,20.1,yes,Candlestick Coffee - Columbia,15/2/2021,OCD - 9,MC3,8.75
18,36,33,55.17,19.7,yes - slow center,Candlestick Coffee - Columbia,15/2/2021,OCD - 9,MC3,8.75
